"","id","from","to","trans","Tstart","Tstop","time","status","A","M","C","A.1","A.2","A.3","M.1","M.2","M.3","C.1","C.2","C.3"
"1",1,1,2,1,0,0.102,0.102,1,1,0.102,1,1,0,0,0.102,0,0,1,0,0
"2",1,1,3,2,0,0.102,0.102,0,1,0.102,1,0,1,0,0,0.102,0,0,1,0
"3",1,2,3,3,0.102,0.85,0.748,1,1,0.102,1,0,0,1,0,0,0.102,0,0,1
"4",2,1,2,1,0,0.101,0.101,0,1,0.104,0,1,0,0,0.104,0,0,0,0,0
"5",2,1,3,2,0,0.101,0.101,1,1,0.104,0,0,1,0,0,0.104,0,0,0,0
"6",3,1,2,1,0,0.182,0.182,0,1,0.847,0,1,0,0,0.847,0,0,0,0,0
"7",3,1,3,2,0,0.182,0.182,1,1,0.847,0,0,1,0,0,0.847,0,0,0,0
"8",4,1,2,1,0,0.238,0.238,1,0,0.238,0,0,0,0,0.238,0,0,0,0,0
"9",4,1,3,2,0,0.238,0.238,0,0,0.238,0,0,0,0,0,0.238,0,0,0,0
"10",4,2,3,3,0.238,0.517,0.279,1,0,0.238,0,0,0,0,0,0,0.238,0,0,0
"11",5,1,2,1,0,0.001,0.001,1,0,0.001,0,0,0,0,0.001,0,0,0,0,0
"12",5,1,3,2,0,0.001,0.001,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0
"13",5,2,3,3,0.001,0.258,0.257,1,0,0.001,0,0,0,0,0,0,0.001,0,0,0
"14",6,1,2,1,0,0.673,0.673,1,0,0.673,0,0,0,0,0.673,0,0,0,0,0
"15",6,1,3,2,0,0.673,0.673,0,0,0.673,0,0,0,0,0,0.673,0,0,0,0
"16",6,2,3,3,0.673,0.862,0.189,1,0,0.673,0,0,0,0,0,0,0.673,0,0,0
"17",7,1,2,1,0,0.194,0.194,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
"18",7,1,3,2,0,0.194,0.194,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"19",8,1,2,1,0,0.057,0.057,1,1,0.057,1,1,0,0,0.057,0,0,1,0,0
"20",8,1,3,2,0,0.057,0.057,0,1,0.057,1,0,1,0,0,0.057,0,0,1,0
"21",8,2,3,3,0.057,0.595,0.538,1,1,0.057,1,0,0,1,0,0,0.057,0,0,1
"22",9,1,2,1,0,0.531,0.531,1,1,0.531,0,1,0,0,0.531,0,0,0,0,0
"23",9,1,3,2,0,0.531,0.531,0,1,0.531,0,0,1,0,0,0.531,0,0,0,0
"24",9,2,3,3,0.531,1.513,0.982,1,1,0.531,0,0,0,1,0,0,0.531,0,0,0
"25",10,1,2,1,0,0.299,0.299,1,1,0.299,0,1,0,0,0.299,0,0,0,0,0
"26",10,1,3,2,0,0.299,0.299,0,1,0.299,0,0,1,0,0,0.299,0,0,0,0
"27",10,2,3,3,0.299,0.315,0.016,1,1,0.299,0,0,0,1,0,0,0.299,0,0,0
"28",11,1,2,1,0,0.167,0.167,1,0,0.167,0,0,0,0,0.167,0,0,0,0,0
"29",11,1,3,2,0,0.167,0.167,0,0,0.167,0,0,0,0,0,0.167,0,0,0,0
"30",11,2,3,3,0.167,0.25,0.083,1,0,0.167,0,0,0,0,0,0,0.167,0,0,0
"31",12,1,2,1,0,1.009,1.009,1,0,1.009,0,0,0,0,1.009,0,0,0,0,0
"32",12,1,3,2,0,1.009,1.009,0,0,1.009,0,0,0,0,0,1.009,0,0,0,0
"33",12,2,3,3,1.009,1.559,0.55,1,0,1.009,0,0,0,0,0,0,1.009,0,0,0
"34",13,1,2,1,0,1.042,1.042,0,0,2.107,0,0,0,0,2.107,0,0,0,0,0
"35",13,1,3,2,0,1.042,1.042,1,0,2.107,0,0,0,0,0,2.107,0,0,0,0
"36",14,1,2,1,0,0.244,0.244,1,1,0.244,0,1,0,0,0.244,0,0,0,0,0
"37",14,1,3,2,0,0.244,0.244,0,1,0.244,0,0,1,0,0,0.244,0,0,0,0
"38",14,2,3,3,0.244,3.342,3.098,1,1,0.244,0,0,0,1,0,0,0.244,0,0,0
"39",15,1,2,1,0,0.074,0.074,0,0,0.912,1,0,0,0,0.912,0,0,1,0,0
"40",15,1,3,2,0,0.074,0.074,1,0,0.912,1,0,0,0,0,0.912,0,0,1,0
"41",16,1,2,1,0,0.177,0.177,0,0,0.789,0,0,0,0,0.789,0,0,0,0,0
"42",16,1,3,2,0,0.177,0.177,1,0,0.789,0,0,0,0,0,0.789,0,0,0,0
"43",17,1,2,1,0,0.437,0.437,0,1,1.095,1,1,0,0,1.095,0,0,1,0,0
"44",17,1,3,2,0,0.437,0.437,1,1,1.095,1,0,1,0,0,1.095,0,0,1,0
"45",18,1,2,1,0,0.362,0.362,1,1,0.362,0,1,0,0,0.362,0,0,0,0,0
"46",18,1,3,2,0,0.362,0.362,0,1,0.362,0,0,1,0,0,0.362,0,0,0,0
"47",18,2,3,3,0.362,0.377,0.015,1,1,0.362,0,0,0,1,0,0,0.362,0,0,0
